,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
0,677,3693,18.331979420525318,3686,39247,9.391800647183224,314.86347764165566,2765.510130668057,11.385366994319956
1,85,566,15.01766784452297,224,3420,6.549707602339182,18.584469791157993,172.56618087357538,10.769473889425218
2,111,155,71.61290322580646,1189,4835,24.59152016546019,104.70793688486829,258.45016527189074,40.51378213463902
3,79,512,15.4296875,334,5879,5.681238305834325,25.349281781546622,431.7524845930738,5.871253249518249
4,60,241,24.896265560165975,322,2617,12.3041650745128,32.35029860918974,178.37825424236058,18.13578608367573
5,139,578,24.048442906574394,733,5270,13.908918406072107,55.253429277517405,473.2286109254309,11.675842922824456
6,200,357,56.022408963585434,841,2158,38.97126969416126,57.76214322189541,145.5960676792582,39.67287313634246
7,39,476,8.193277310924369,131,4447,2.945806161457162,11.173505585417278,356.30692427083744,3.1359215396341913
8,5,356,1.4044943820224718,36,2985,1.2060301507537687,2.17374645616206,242.70164873752972,0.8956455250589844
9,18,324,5.555555555555555,56,2880,1.9444444444444444,5.2142033664017955,194.81164581088345,2.676535760836171
10,90,355,25.352112676056336,472,5165,9.138431752178121,47.78011258525893,327.1930545965878,14.60303387068205
