districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,261,3693,7.067424857839155,1007,39247,2.565801207735623,89.34358538444471,2765.510130668057,3.2306367058168113
Ciutat_Vella,47,566,8.303886925795052,144,3420,4.2105263157894735,12.591543981197447,172.56618087357538,7.296646375005659
Eixample,54,155,34.83870967741935,352,4835,7.280248190279213,31.954847353449974,258.45016527189074,12.364026666353
Sants_Montjuic,32,512,6.25,147,5879,2.500425242388161,11.72012479494991,431.7524845930738,2.7145471568035364
Les_Corts,8,241,3.319502074688797,40,2617,1.5284677111196026,3.4441940141810874,178.37825424236058,1.9308373819498754
Sarria_Sant_Gervasi,45,578,7.7854671280276815,138,5270,2.6185958254269446,11.771016066621034,473.2286109254309,2.4873847005154666
Gracia,77,357,21.568627450980394,237,2158,10.98239110287303,17.996251350816564,145.5960676792582,12.360396566795693
Horta_Guinardo,73,476,15.336134453781513,258,4447,5.801664043175174,23.843194349972933,356.30692427083744,6.69175722553434
Nou_Barris,5,356,1.4044943820224718,35,2985,1.1725293132328307,2.211465613874603,242.70164873752972,0.9111868936111753
Sant_Andreu,10,324,3.0864197530864197,52,2880,1.8055555555555554,3.077573683099385,194.81164581088345,1.5797688430223464
Sant_Marti,18,355,5.070422535211268,77,5165,1.4908034849951597,6.1117808645296,327.1930545965878,1.8679433376313905
