districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,315,3693,8.529650690495533,1209,39247,3.0804902285525007,102.51884007083945,2765.510130668057,3.7070498832732257
Ciutat_Vella,77,566,13.604240282685511,199,3420,5.818713450292398,16.376356612617876,172.56618087357538,9.489899196769873
Eixample,76,155,49.03225806451613,428,4835,8.852119958634953,36.347011004000976,258.45016527189074,14.0634504782629
Sants_Montjuic,33,512,6.4453125,197,5879,3.350910018710665,14.64973844714747,431.7524845930738,3.3930872363027236
Les_Corts,22,241,9.12863070539419,114,2617,4.356132976690867,12.146615427296028,178.37825424236058,6.80947096319967
Sarria_Sant_Gervasi,43,578,7.439446366782007,189,5270,3.586337760910816,15.568747702593742,473.2286109254309,3.289899922185176
Gracia,117,357,32.773109243697476,373,2158,17.284522706209454,25.562677735561053,145.5960676792582,17.557258340159652
Horta_Guinardo,8,476,1.680672268907563,43,4447,0.9669440071958625,3.1608961120284254,356.30692427083744,0.8871273322843853
Nou_Barris,5,356,1.4044943820224718,33,2985,1.105527638190955,1.9779444905920527,242.70164873752972,0.8149695318844354
Sant_Andreu,4,324,1.2345679012345678,9,2880,0.3125,0.46941052203461986,194.81164581088345,0.24095608867773116
Sant_Marti,26,355,7.323943661971831,88,5165,1.70377541142304,8.605874116211396,327.1930545965878,2.630212956941276
