districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,3096,3693,83.83428107229895,3096,39247,7.8885010319260065,281.0143335055801,2765.510130668057,10.161392301162758
Ciutat_Vella,315,566,55.65371024734982,315,3420,9.210526315789473,25.028848475380485,172.56618087357538,14.503912845887806
Eixample,788,155,508.38709677419354,788,4835,16.297828335056877,69.87531181565681,258.45016527189074,27.036280569659404
Sants_Montjuic,272,512,53.125,272,5879,4.626637183194421,23.574185841041736,431.7524845930738,5.460115849306664
Les_Corts,119,241,49.37759336099585,119,2617,4.547191440580818,13.122548067636295,178.37825424236058,7.356585096862106
Sarria_Sant_Gervasi,307,578,53.11418685121107,307,5270,5.825426944971538,27.79463641378142,473.2286109254309,5.873405743458136
Gracia,755,357,211.48459383753502,755,2158,34.986098239110284,58.15393907068585,145.5960676792582,39.94197095954298
Horta_Guinardo,591,476,124.15966386554622,591,4447,13.289858331459412,51.18851113864839,356.30692427083744,14.366409309446587
Nou_Barris,152,356,42.69662921348314,152,2985,5.092127303182579,13.016083812998307,242.70164873752972,5.362997689016353
Sant_Andreu,212,324,65.4320987654321,212,2880,7.361111111111112,19.32203075237558,194.81164581088345,9.918314006305739
Sant_Marti,410,355,115.49295774647888,410,5165,7.938044530493708,39.30509715492414,327.1930545965878,12.012815248595453
