districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,4014,3693,108.69212022745735,4014,39247,10.227533314648253,357.07764795570284,2765.510130668057,12.911818474136073
Ciutat_Vella,224,566,39.57597173144876,224,3420,6.549707602339182,18.584469791157993,172.56618087357538,10.769473889425218
Eixample,1235,155,796.7741935483871,1235,4835,25.542916235780766,109.79384479884274,258.45016527189074,42.48163071721743
Sants_Montjuic,356,512,69.53125,356,5879,6.055451607416227,26.899472084944303,431.7524845930738,6.230299313806387
Les_Corts,336,241,139.41908713692945,336,2617,12.839128773404662,33.423408889877884,178.37825424236058,18.73737862938487
Sarria_Sant_Gervasi,751,578,129.93079584775086,751,5270,14.25047438330171,56.548086009057684,473.2286109254309,11.949422478593176
Gracia,897,357,251.26050420168067,897,2158,41.566265060240966,63.012245957874214,145.5960676792582,43.278810315596886
Horta_Guinardo,201,476,42.226890756302524,201,4447,4.519901056892287,17.974680663522474,356.30692427083744,5.044718314219312
Nou_Barris,113,356,31.741573033707866,113,2985,3.7855946398659968,19.039958026057363,242.70164873752972,7.845005637620604
Sant_Andreu,98,324,30.246913580246915,98,2880,3.4027777777777777,13.229306821141497,194.81164581088345,6.7908192891014645
Sant_Marti,549,355,154.64788732394365,549,5165,10.629235237173281,54.578959206767465,327.1930545965878,16.680965087740177
